Parameters used for each image:
Image 1: match_width=35, center_percent=0.1, y_offset=1, SSD=343.091858
Image 2: match_width=20, center_percent=0.15, y_offset=1, SSD=568.242004
Image 3: match_width=20, center_percent=0.1, y_offset=2, SSD=216.563080
Image 4: match_width=20, center_percent=0.15, y_offset=9, SSD=247.850601
Image 5: match_width=20, center_percent=0.15, y_offset=10, SSD=194.045700
Image 6: match_width=25, center_percent=0.2, y_offset=10, SSD=186.872971
Image 7: match_width=20, center_percent=0.2, y_offset=10, SSD=173.171677
Image 8: match_width=20, center_percent=0.2, y_offset=10, SSD=112.996979
Image 9: match_width=20, center_percent=0.2, y_offset=10, SSD=184.378143
Image 10: match_width=20, center_percent=0.2, y_offset=10, SSD=232.869675
Image 11: match_width=40, center_percent=0.2, y_offset=10, SSD=1035.022217
Image 12: match_width=20, center_percent=0.15, y_offset=10, SSD=504.415100
Image 13: match_width=20, center_percent=0.1, y_offset=9, SSD=505.823090
Image 14: match_width=20, center_percent=0.1, y_offset=9, SSD=595.558777
Image 15: match_width=20, center_percent=0.1, y_offset=8, SSD=814.650452
Image 16: match_width=35, center_percent=0.1, y_offset=8, SSD=707.109375
Image 17: match_width=25, center_percent=0.15, y_offset=-7, SSD=645.221069
Image 18: match_width=20, center_percent=0.2, y_offset=6, SSD=1036.549927
Image 19: match_width=30, center_percent=0.2, y_offset=10, SSD=1170.140625
Image 20: match_width=40, center_percent=0.2, y_offset=9, SSD=886.262512
Image 21: match_width=40, center_percent=0.2, y_offset=9, SSD=1247.377319
Image 22: match_width=20, center_percent=0.15, y_offset=4, SSD=1449.536255
Image 23: match_width=25, center_percent=0.1, y_offset=4, SSD=362.841858
Image 24: match_width=20, center_percent=0.15, y_offset=2, SSD=98.994370
Image 25: match_width=20, center_percent=0.15, y_offset=-1, SSD=95.763664
Image 26: match_width=20, center_percent=0.15, y_offset=-2, SSD=78.587082
Image 27: match_width=35, center_percent=0.15, y_offset=-4, SSD=197.296341
Image 28: match_width=30, center_percent=0.2, y_offset=-5, SSD=359.307220
Image 29: match_width=20, center_percent=0.2, y_offset=-6, SSD=461.890411
Image 30: match_width=25, center_percent=0.15, y_offset=-7, SSD=446.786865
Image 31: match_width=40, center_percent=0.1, y_offset=-8, SSD=675.985107
Image 32: match_width=20, center_percent=0.1, y_offset=-9, SSD=409.850189
